,Section(Russian),Section(English),Question(Russian),Question(English),Options(Russian),Option(English),Answer,Solution(Russian),Solution(English)
446,Алгебра,Algebra,"На кондитерской фабрике мармелад упаковывают в большие и маленькие коробки в зависимости от сорта и вида мармелада. В большие коробки кладут от 5 кг до 7 кг мармелада, а в маленькие от 2 кг до 3 кг мармелада. Для упаковки сладостей понадобилось 5 больших и 6 маленьких коробок. Сколько килограмм мармелада упаковали.","At the confectionery factory, marmalade is packed in large and small boxes depending on the variety and type of marmalade. Large boxes contain 5 kg to 7 kg of marmalade and small boxes contain 2 kg to 3 kg of marmalade. For packing sweets 5 big and 6 small boxes were needed. How many kilograms of marmalade were packed.",A) от 37 кг до 55 кг B) от 37 кг до 53 кг C) от 35 кг до 53 кг D) от 35 кг до 55 кг E) от 37 кг до 57 кг,(A) 37 kg to 55 kg (B) 37 kg to 53 kg (C) 35 kg to 53 kg D) 35 kg to 55 kg E) 37 kg to 57 kg,B,"Посчитаем минимум: 5*5+2*6=37, и
 максимум: 7*5+3*6=53. Ответ: от 37 до 53","Calculate the minimum: 5*5+2*6=37, and
 the maximum: 7*5+3*6=53. Answer: from 37 to 53"
447,Алгебра,Algebra,"На кондитерской фабрике мармелад упаковывают в большие и маленькие коробки в зависимости от сорта и вида мармелада. В большие коробки кладут от 5 кг до 7 кг мармелада, а в маленькие от 2 кг до 3 кг мармелада. Оказалось, что в итоге упаковали ог 37 кг до 53 кг мармелада и задействовали коробки обоих видов. Сколько потребовалось маленьких коробок для упаковки мармелада, если больших коробок было 5?","At the confectionery factory, marmalade is packed in large and small boxes depending on the variety and type of marmalade. Large boxes contain 5 kg to 7 kg of marmalade and small boxes contain 2 kg to 3 kg of marmalade. It turned out that in the end they packed 37 kg to 53 kg of marmalade and used both types of boxes. How many small boxes were needed to pack the marmalade if there were 5 large boxes?",A) 3 B) 4 C) 5 D) 6 E) 8,A) 3 B) 4 C) 5 D) 6 E) 8,D,"Мы знаем, что больших коробок было 5. Для того, чтобы найти число маленьких коробок, составляем уравнение для максимума (допустим), обозначив число маленьких коробок как х: 7*5+3*х=53. Х=6. Ответ: 6.","We know that there were 5 large boxes. In order to find the number of small boxes, we make an equation for the maximum (for example), denoting the number of small boxes as x: 7*5+3*x=53. X=6. Answer: 6."
448,Алгебра,Algebra,"На кондитерской фабрике мармелад упаковывают в большие и маленькие коробки в зависимости от сорта и вида мармелада. В большие коробки кладут от 5 кг до 7 кг мармелада, а в маленькие от 2 кг до 3 кг мармелада. Оказалось, что в итоге упаковали от 37 кг до 53 кг мармелада и задействовали коробки обоих видов. Сколько потребовалось больших коробок для упаковки мармелада, если маленьких коробок было 6?","At the confectionery factory, marmalade is packed in large and small boxes depending on the variety and type of marmalade. Large boxes contain 5 kg to 7 kg of marmalade, and small boxes contain 2 kg to 3 kg of marmalade. It turned out that in the end 37 kg to 53 kg of marmalade were packed and both types of boxes were used. How many large boxes were needed to pack the marmalade if there were 6 small boxes?",A) 3 B) 4 C) 5 D) 6 E) 8,A) 3 B) 4 C) 5 D) 6 E) 8,C,"Мы знаем, что маленьких коробок было 6. Для того, чтобы найти число больших коробок, составляем уравнение для максимума (допустим), обозначив число больших коробок как х: 7х+3*6=53. Х=5. Ответ: 5.","We know that there were 6 small boxes. In order to find the number of large boxes, we make an equation for the maximum (for example), denoting the number of large boxes as x: 7x+3*6=53. X=5. Answer: 5."
449,Алгебра,Algebra,"Число отсутствующих студентов составляет 1/6 числа студентов группы.После того как из аудитории вышел еще один студент, число отсутствующих оказалось равным 1/5 студентов группы. Сколько студентов в этой группе?","The number of absent students is 1/6 of the number of students in the group.After one more student came out of the room, the number of absent students was 1/5 of the students in the group. How many students are there in this group?",A) 20 B) 24 C) 26 D) 30 E) нет верного ответа,A) 20 B) 24 C) 26 D) 30 E) no correct answer,D,"Пусть x — количество учеников в классе. Первоначально число отсутствующих составляло 1/6 от x. После того как из класса вышел 1 ученик, то число отсутствующих составило 1/5 от x. 1/5—1/6=1/30, следовательно, в классе 30 учащихся. Ответ: 30.","Let x be the number of students in a class. Initially, the number of absentees was 1/6 of x. After 1 student left the class, the number of absentees was 1/5 of x. 1/5—1/6=1/30, so there are 30 students in the class. Answer: 30."
450,Алгебра,Algebra,"Число отсутствующих студентов составляет 1/6 числа студентов группы.После того как из аудитории вышел еще один студент, число отсутствующихоказалось равным 1/4 студентов группы. Сколько студентов в этой группе?","The number of absent students is 1/6 of the number of students in the group. After one more student left the room, the number of absent students is 1/4 of the students in the group. How many students are in this group?",A) 20 B) 24 C) 26 D) 30 E) нет верного ответа,A) 20 B) 24 C) 26 D) 30 E) no correct answer,D,"Пусть x — количество учеников в классе. Первоначально число отсутствующих составляло 1/6 от x. После того как из класса вышел 1 ученик, то число отсутствующих составило 1/4 от x. 1/4—1/6=1/12, следовательно, в классе 30 учащихся. Ответ: 30.","Let x be the number of students in a class. Initially, the number of absentees was 1/6 of x. After 1 student left the class, the number of absentees was 1/4 of x. 1/4—1/6=1/12, so there are 30 students in the class. Answer: 30."
451,Алгебра,Algebra,"Число отсутствующих студентов составляет 1/5 числа студентов группы.После того как из аудитории вышел еще один студент, число отсутствующихоказалось равным 1/4 студентов группы. Сколько студентов в этой группе?","The number of absent students is 1/5 of the students in the group. After one more student left the room, the number of absent students is 1/4 of the students in the group. How many students are in this group?",A) 20 B) 24 C) 26 D) 30 E) нет верного ответа,A) 20 B) 24 C) 26 D) 30 E) no correct answer,A,"Пусть x — количество учеников в классе. Первоначально число отсутствующих составляло 1/5 от x. После того как из класса вышел 1 ученик, то число отсутствующих составило 1/4 от x. 1/4—1/5=1/20, следовательно, в классе 20 учащихся. Ответ: 20.","Let x be the number of students in a class. Initially, the number of absentees was 1/5 of x. After 1 student left the class, the number of absentees was 1/4 of x. 1/4—1/5=1/20, so there are 20 students in the class. Answer: 20."
452,Алгебра,Algebra,"Число отсутствующих студентов составляет 1/5 числа студентов группы.После того как из аудитории вышел еще один студент, число отсутствующихоказалось равным 1/4 студентов группы. Сколько студентов изначально отсутствовали в этой группе?","The number of absent students is 1/5 of the students in a group. After one more student left the room, the number of absent students is 1/4 of the students in the group. How many students were initially absent from this group?",A) 2 B) 4 C) 6 D) 3 E) нет верного ответа,A) 2 B) 4 C) 6 D) 3 E) no correct answer,B,"Пусть x — количество учеников в классе. Первоначально число отсутствующих составляло 1/6 от x. После того как из класса вышел 1 ученик, то число отсутствующих составило 1/4 от x. 1/4—1/6=1/12, следовательно, в классе 30 учащихся. Ответ: 30.","Let x be the number of students in a class. Initially, the number of absentees was 1/6 of x. After 1 student left the class, the number of absentees was 1/4 of x. 1/4—1/6=1/12, so there are 30 students in the class. Answer: 30."
453,Логика,Logic,"Бабушка жарит очень вкусные творожные ватрушки, пользуясьспециальной сковородой. Эта сковорода так невелика, что одновременно на ней можно выпекать не более двух ватрушек. Каждую из ватрушек необходимо выпекать в течении одной минуты с каждой стороны. Какое минимальное время потребуется бабушке, чтобы приготовить две ватрушки?",My grandmother makes delicious cottage cheese puffs using a special frying pan. The pan is so small that no more than two puff pastries can be baked on it at a time. Each of the puff pastries should be baked for one minute on each side. What is the minimum amount of time it will take for Grandma to bake two puff pastries?,A) 2 мин B) 3 мин C) 4 мин D) 5 мин E) нет правильного ответа,A) 2 min B) 3 min C) 4 min D) 5 min E) no correct answer,A,"Чтобы приготовить две ватрушки, можно на одну сторону положить жариться на 1 мин, перевернуть, жарить еще 1 мин и снять. Ответ: 2 мин.","To prepare two cheesecakes, you can put on one side to fry for 1 minute, turn it over, fry for another 1 minute and remove. Response time: 2 min."
454,Логика,Logic,"Бабушка жарит очень вкусные творожные ватрушки, пользуясь специальной сковородой. Эта сковорода так невелика, что одновременно на ней можно выпекать не более двух ватрушек. Каждую из ватрушек необходимо выпекать в течении одной минуты с каждой стороны. Какое минимальное время потребуется бабушке, чтобы приготовить три ватрушки ?",My grandmother fries very tasty cottage cheese puffs using a special frying pan. This pan is so small that no more than two patties can be baked on it at a time. Each of the puff pastries should be baked for one minute on each side. What is the minimum time it will take for Grandma to bake three puff pastries ?,A) 2 мин B) 3 мин C) 4 мин D) 5 мин E) нет правильного ответа,A) 2 min B) 3 min C) 4 min D) 5 min E) no correct answer,B,"Чтобы приготовить три ватрушки, можно положить 2 лепешки на одну сторону, пожарить 1 мин.
 Одну лепешку снять, вместо нее положить 3-ью, а 2-ую перевернуть.
 Пожарить 1 мин.
 2-ую лепешку снять готовую, положить 1-ую, а 3-ью перевернуть.
 Пожарить 1 мин. Ответ: 3 мин.","To make three cheesecakes, you can put 2 tortillas on one side, fry for 1 min.
 Remove one tortilla, put the 3rd one instead, and turn the 2nd one over.
 Fry for 1 min.
 Remove the 2nd tortilla ready, put the 1st, and turn the 3rd over.
 Fry for 1 min. Response time: 3 min."
455,Логика,Logic,"Бабушка жарит очень вкусные творожные ватрушки, пользуясь специальной сковородой. Эта сковорода так невелика, что одновременно на ней можно выпекать не более двух ватрушек. Каждую из ватрушек необходимо выпекать в течении одной минуты с каждой стороны. Какое минимальное время потребуется бабушке, чтобы приготовить четыре ватрушки?",My grandmother fries very tasty cottage cheese puffs using a special frying pan. This pan is so small that no more than two patties can be baked on it at a time. Each of the puff pastries should be baked for one minute on each side. What is the minimum time it will take for Grandma to bake four puff pastries?,A) 2 мин B) 3 мин C) 4 мин D) 5 мин E) нет правильного ответа,A) 2 min B) 3 min C) 4 min D) 5 min E) no correct answer,C,"Чтобы приготовить четыре ватрушки, бабушка может:
 1. Печь 2 ватрушки одновременно 1 минуту с одной стороны.
 2. Перевернуть их и печь еще 1 минуту с другой стороны.
 3. Затем убрать одну ватрушку и поставить 1 оставшуюся и 2 новые ватрушки, печь 1 минуту с одной стороны.
 4. Перевернуть оставшиеся ватрушки и печь еще 1 минуту с другой стороны. В итоге получаем 3 минуты. Ответ: 3.","To make four cheesecakes, your grandmother can:
 1. Bake 2 cheesecakes simultaneously for 1 minute on one side.
 2. Turn them over and bake for another 1 minute on the other side.
 3. Then remove one cheesecake and put 1 remaining and 2 new cheesecakes, bake for 1 minute on one side.
 4. Turn the remaining cheesecakes over and bake for another 1 minute on the other side. As a result, we get 3 minutes. Answer: 3."
456,Логика,Logic,"Бабушка жарит очень вкусные творожные ватрушки, пользуясь специальной сковородой. Эта сковорода так невелика, что одновременно на ней можно выпекать не более двух ватрушек. Каждую из ватрушек необходимо выпекать в течении одной минуты с каждой стороны. Какое минимальное время потребуется бабушке, чтобы приготовить пять ватрушек?",My grandmother fries very tasty cottage cheese puffs using a special frying pan. This pan is so small that no more than two patties can be baked on it at a time. Each of the puff pastries should be baked for one minute on each side. What is the minimum time it would take for Grandma to bake five puff pastries?,A) 2 мин B) 3 мин C) 4 мин D) 6 мин E) нет правильного ответа,A) 2 min B) 3 min C) 4 min D) 6 min E) no correct answer,C,"Чтобы приготовить пять ватрушек, бабушка может:
 1. Печь 2 ватрушки одновременно 1 минуту с одной стороны.
 2. Перевернуть их и печь еще 1 минуту с другой стороны.
 3. Убрать 2 ватрушки и положить 2 другие ватрушки, печь 1 минуту с одной стороны.
 4. Перевернуть их, добавить оставшуюся ватрушку и печь 1 минуту с другой стороны. В итоге получаем 4 минуты. Ответ: 4.","To make five cheesecakes, your grandmother can:
 1. Bake 2 cheesecakes simultaneously for 1 minute on one side.
 2. Turn them over and bake for another 1 minute on the other side.
 3. Remove 2 cheesecakes and put 2 other cheesecakes, bake for 1 minute on one side.
 4. Turn them over, add the remaining cheesecake and bake for 1 minute on the other side. As a result, we get 4 minutes. Answer: 4."
457,Алгебра,Algebra,"Даурен хочет поздравить Жанару с 8 марта и решил подарить ей цветы. Он знает, что в букете должно быть нечетное количество цветов. Тюльпаны стоят 175 тенге за штуку. Из какого наибольшего числа тюльпанов Даурен может купить букет, если у него 1500 тенге",Dauren wants to congratulate Zhanara on March 8 and decides to give her flowers. He knows that there should be an odd number of flowers in a bouquet. Tulips cost 175 tenge per piece. What is the largest number of tulips Dauren can buy a bouquet of if he has 1500 tenge,A) 5 B) 7 C) 8 D) 9 E) 11,A) 5 B) 7 C) 8 D) 9 E) 11,B,"1 тюльпан - 175 тенге
 Х тюльпанов - 1500 тенге
 Решение:
 1) Узнаем сколько ( максимально) тюльпанов можно купить на 1500 тенге
 1500/175 = 8 ( остаток 100 тенге), можно купить 8 тюльпанов.
 2) Поскольку подарить можно только нечетное число тюльпанов , то наибольшее нечетное число тюльпанов, которые может купить Ваня будет - 7 тюльпанов. Ответ: 7.","1 tulip - 175 tenge
 X tulips - 1500 tenge
 Decision:
 1) Find out how many (maximum) tulips you can buy for 1500 tenge
 1500/175 = 8 (remaining 100 tenge), you can buy 8 tulips.
 2) Since you can only give an odd number of tulips, the largest odd number of tulips that Vanya can buy will be 7 tulips. Answer: 7."
458,Алгебра,Algebra,"Вдоль аллеи высадили несколько берез. Потом между каждыми двумя березами посадили ещё по две березы. Потом между каждыми двумя березами посадили ещё по одной березе, и всего берез стало 1357. Сколько берез посадили первоначально?","Several birch trees were planted along the alley. Then between every two birches two more birches were planted. Then they planted one more birch between each two birches, and the total number of birches was 1357. How many birches were planted originally?",A) 200 B) 227 C) 254 D) 281 E) 308,A) 200 B) 227 C) 254 D) 281 E) 308,B,"Пусть изначально было Х берез. Количество интервалов между Х березами: Х−1.
 Количество новых берез: 2*(Х−1). После первой посадки:
 Х+2(Х−1)=3Х−2 берез.
 После второй посадки:
 3Х−2+(3Х−3)=6Х−5 берез. Итак, получаем 6Х−5=1357. Х = 227. Ответ: первоначально было 227 берез.","Let's say it was originally X birches. Number of intervals between X birches: X-1.
 Number of new birches: 2*(X−1). After the first planting:
 X+2 (X−1)=3X−2 birches.
 After the second planting:
 3X-2+(3X−3)=6X-5 birches. So, we get 6X-5=1357. X = 227. Answer: initially there were 227 birches."
459,Логика,Logic,"Семеро кроликов из живого уголка любят капусту, шестеро — морковь, пятеро — горох. Четверо любят капусту и морковь, трое — капусту и горох, двое — морковь и горох. А один охотно ест всё. Сколько кроликов в уголке?","Seven rabbits from the live corner like cabbage, six like carrots, and five like peas. Four like cabbage and carrots, three like cabbage and peas, two like carrots and peas. And one eagerly eats everything. How many rabbits are in the corner?",А) 4 B) 6 C) 10 D) 13 E) 14,А) 4 B) 6 C) 10 D) 13 E) 14,C,"1. По условию задачи в уголке 7 детей любили капусту.
 Также известно, что 6 человек любили морковь и 5 - горох.
 Просуммируем известные величины.
 7 + 6 + 5 = 18.
 2. В этой сумме кролики, которые любят два овоща учтены два раза.
 Удалим двойной учет. В задаче сказано, что 4 кролика любили капусту и морковь.
 Кроме того, 3 кролика предпочитают и капусту и горох, а 2 кролика - морковь и горох.
 18 - 4 - 3 - 2 = 18 - 9 = 9 кроликов.
 3. Известно, что один кролик ест все овощи.
 Он сначала был включен в сумму 3 раза как любитель каждого овоща, потом исключен также 3 раза.
 Поэтому его нужно добавить в сумму.
 9 + 1 = 10 кроликов.
 Ответ: В уголке было 10 кроликов.","1. According to the condition of the problem in the corner, 7 children liked cabbage.
 It is also known that 6 people liked carrots and 5-peas.
 Let's sum up the known values.
 7 + 6 + 5 = 18.
 2. In this sum, rabbits who like two vegetables are counted twice.
 Remove double-entry. The problem says that 4 rabbits liked cabbage and carrots.
 In addition, 3 rabbits prefer both cabbage and peas, and 2 rabbits prefer carrots and peas.
 18 - 4 - 3 - 2 = 18 - 9 = 9 rabbits.
 3. It is known that one rabbit eats all vegetables.
 He was first included in the total 3 times as a fan of each vegetable, then excluded also 3 times.
 Therefore, it must be added to the amount.
 9 + 1 = 10 rabbits.
 Answer: There were 10 rabbits in the corner."
460,Алгебра,Algebra,"Средний возраст 12 детей, занимающихся в спортивной секции составляет 16 лет. Если средний возраст семи из них - 13 лет, каков средний возраст остальных пяти?","The average age of 12 children in a sports club is 16 years. If the average age of seven of them is 13, what is the average age of the other five?","A) 18 B) 19,6 C) 20,2 D) 20,5 E) 16","A) 18 B) 19,6 C) 20,2 D) 20,5 E) 16",C,"Пусть S — суммарный возраст всех 12 детей, S(7) — суммарный возраст семи детей, и S(5) — суммарный возраст остальных пяти детей. S=12*16=192, S(7) =7*13=91
 S(5)=S-S(7)=192−91=101.
 Средний возраст пяти детей: S(5)/5=20.2 Ответ: 20.2.","Let S be the total age of all 12 children, S(7) be the total age of seven children, and S(5) be the total age of the other five children. S=12*16=192, S(7) =7*13=91
 S(5)=S-S(7)=192−91=101.
 Average age of five children: S(5)/5=20.2 Answer: 20.2."
461,Алгебра,Algebra,"Средний балл Алена после первого семестра составил 80. После второго его оценка по алгебре уменьшилась на 8, а по геометрии повысилась на 6, по английскому языку понизилась на 10. Какой средний балл Алена по итогам второго семестра, если других предметов нет?","Alen's average grade after the first semester was 80. After the second semester his grade in Algebra decreased by 8, and in Geometry increased by 6, in English decreased by 10. What is Alen's average grade after the second semester, if there are no other subjects?","A) 68 B) 70,4 C) 74 D) 76 E) 80","A) 68 B) 70,4 C) 74 D) 76 E) 80",D,"Пусть у Алены три предмета: алгебра, геометрия и английский язык. Средний балл после первого семестра составляет 80, значит, суммарный балл по трем предметам: A1+G1+E1/3=80, A1+G1+E1=240
 Изменения во втором семестре:
 Алгебра: A2=A1−8;
 Геометрия: G2=G1+6
 Английский:
 E2=E1−10
 Суммарный балл по трем предметам после второго семестра: A2+G2+E2=240-12=228, средний бал по итогам второго семестра = 228/3=76. Ответ: 76.","Let Alena have three subjects: algebra, geometry,and English. The average score after the first semester is 80, which means that the total score in three subjects is A1+G1+E1 / 3=80, A1+G1+E1=240
 Changes in the second semester:
 Algebra: A2=A1-8;
 Geometry: G2=G1+6
 English:
 E2=E1-10
 Total score in three subjects after the second semester: A2+G2+E2=240-12=228, average score at the end of the second semester = 228/3=76. Answer: 76."
462,Алгебра,Algebra,Среднее арифметическое нескольких чисел является отрицательным числом. Какие утверждения являются верными,The Algebra mean of several numbers is a negative number. Which statements are true,A) хотя бы одно из чисел было отрицательным B) все числа были отрицательными C) количество чисел было нечетным D) правильные ответы А и В E) нет верных утверждений,A) at least one of the numbers was negative B) all the numbers were negative C) the number of numbers was odd D) the correct answers are A and B E) there are no correct statements,A,"Если бы все числа были неотрицательными, их сумма не могла бы быть отрицательной. Ответ: Хотя бы одно число было отрицательным","If all the numbers were non-negative, their sum could not be negative. Answer: At least one number was negative"
463,Алгебра,Algebra,"Мади занимается тяжелой атлетикой. Каждую неделю он добавляет к весу, который поднимал на предыдущей неделе 3 кг. До начала тренирововк он поднимал штангу в 20 кг. Каков вес штанги после 11 недель тренировок?","Madi is a weightlifter. Every week he adds 3 kg to the weight he lifted the previous week. Before he started training, he was lifting a 20 kg barbell. What is the weight of the barbell after 11 weeks of training?",A) 47 B) 50 C) 53 D) 55 E) 58,A) 47 B) 50 C) 53 D) 55 E) 58,C,"Вес штанги увеличивается каждую неделю на 3 кг. Начальный вес штанги - 20кг. Через 11 недель добавлено: 11*3=33кг.
 Итоговый вес штанги: 20+33=53кг. Ответ: 53.","The weight of the barbell increases every week by 3 kg. The initial weight of the bar is 20kg. After 11 weeks added: 11*3=33kg.
 Total weight of the barbell: 20+33=53kg. Answer: 53."
464,Алгебра,Algebra,"Чтобы связать платье, бабушке нужно 400 граммов шерсти оранжевого цвета. Можно купить оранжевую пряжу по цене 270 тг за 50 г, а можно купить неокрашенную пряжу по цене 225 тг за 50 г и окрасить ее. Один пакетик оранжевой краски стоит 45 тг и рассчитан на окраску 200 г пряжи. Сколько стоит наиболее дешевый вариант покупкт?","Чтобы связать платье, бабушке нужно 400 граммов шерсти оранжевого цвета. Можно купить оранжевую пряжу по цене 270 тг за 50 г, а можно купить неокрашенную пряжу по цене 225 тг за 50 г и окрасить ее. Один пакетик оранжевой краски стоит 45 тг и рассчитан на окраску 200 г пряжи. Сколько стоит наиболее дешевый вариант покупкт?",A) 1540 B) 1890 C) 2200 D) 2525 E) 3000,A) 1540 B) 1890 C) 2200 D) 2525 E) 3000,B,"400/50=8
 8*270=2160 тенге (на уже окрашенную)
 225*8=1800 тенге (на шерсть)
 2*45=90 тенге (На краску)
 Итого: 1800+90=1890.
 Ответ: Дешевле выйдет, если купить неокрашенную шерсть и окрасить ее.","400/50=8
 8*270=2160 tenge (for already painted)
 225*8=1800 tenge (for wool)
 2*45=90 tenge (For paint)
 Total: 1800+90=1890.
 Answer: It will be cheaper if you buy unpainted wool and dye it."
465,Логика,Logic,"Туристы вышли из лагеря и прошли 5 км на север, затем 8 км на запад, затем 6 км на юг и 9 км на восток. В каком направлении должны двигаться туристы, чтобы вернуться обратно в лагерь?","The hikers left the camp and walked 5 km north, then 8 km west, then 6 km south and 9 km east. In which direction should the hikers travel to get back to the camp?",A) на север B) на северо-восток C) насеверо-запад D) на запад E) Они уже в лагере.,A) north B) north-east C) north-northwest D) west E) They are already in the camp.,C,"Чтобы определить их конечное положение относительно лагеря, рассчитаем перемещения по каждой оси:
 На север: 5 км.
 На юг: 6 км.
 Итоговое перемещение по вертикали: 6−5=1 км на юг
 На запад: 8 км
 На восток: 9 км
 Итоговое перемещение по горизонтали: 9−8=1 км на восток.
 Туристы оказались на 1 км к югу и 1 км к востоку от лагеря. Чтобы вернуться обратно, нужно двигаться на северо-запад. Ответ: Северо-Запад.","To determine their final position relative to the camp, calculate their movements along each axis:
 To the north: 5 km.
 To the south: 6 km.
 Total vertical travel: 6-5=1 km south
 to west: 8 km
 To the east: 9 km
 Total horizontal movement: 9-8=1 km to the east.
 The tourists ended up 1 km to the south and 1 km to the east of the camp. To get back, you need to move to the northwest. Answer: NorthWest."
466,Логика,Logic,"Туристы вышли из лагеря и прошли 5 км на север, затем 8 км на восток, затем 6 км на юг и 9 км на запад. В каком направлении должны двигаться туристы, чтобы вернуться обратно в лагерь?","The hikers left the camp and walked 5 km north, then 8 km east, then 6 km south and 9 km west. In which direction should the hikers travel to get back to the camp?",A) на север B) на северо-запад C) насеверо-восток D) навосток E) Они уже в лагере.,A) north B) northwest C) northeast D) eastward E) They are already in the camp.,C,"Рассчитаем их конечное положение относительно лагеря:
 На север: 5 км
 На юг: 6 км
 Итоговое перемещение по вертикали: 6−5=1 км на юг. На восток: 8 км. На запад: 9 км.
 Итоговое перемещение по горизонтали: 9−8=1 км на запад.
 Туристы оказались на 1 км к югу и 1 км на запад от лагеря. Чтобы вернуться обратно, нужно двигаться на северо-восток. Ответ: Северо-восток.","Calculate their final position relative to the camp:
 North: 5 km
 South: 6 km
 Total vertical movement: 6-5=1 km south. To the east: 8 km. To the west: 9 km.
 Total horizontal movement: 9-8=1 km to the west.
 The tourists were 1 km south and 1 km west of the camp. To get back, you need to move to the northeast. Answer: North-east."
467,Логика,Logic,Какой угол образуют минутная и часовая стрелка в 18:20?,What angle do the minute hand and hour hand form at 18:20?,A) 60° B) 70° C) 80° D) 120° E) 130°,A) 60° B) 70° C) 80° D) 120° E) 130°,B,"Рассмотрим случай, если часовая стрелка фиксированная и показывает только 18. В 18:15 между стрелками часов будет 90 градусов. В 18:30 - 0 градусов. Между 18:15 и 18:30 можно провести 3 ровных промежутка: 18:15-18:20, 18:20-18:25, 18:25-18:30. Угол для каждого такого промежутка равен: 90/3=30. 18:20 находится в одном промежутке от 18:15, поэтому: 90-30=60 градусов. Часовая стрелка за 12 часов проделывает путь в 360 градусов. Соответственно, за каждый час угол будет равен: 360/12=30 градусов. За двадцать минут часовая стрелка подвинется на 30/60=1/2 пути, т.е. на 30/3=10 градусов. Складываем минутные и часовые градусы: 60+10=70. Ответ: 70 градусов.","Consider the case if the hour hand is fixed and shows only 18. At 18: 15, there will be 90 degrees between the hands of the clock. At 18: 30 - 0 degrees. Between 18:15 and 18:30, you can spend 3 even intervals: 18:15-18:20, 18:20-18:25, 18:25-18:30. The angle for each such interval is: 90/3=30. 18: 20 is in the same interval from 18: 15, so: 90-30=60 degrees. The hour hand travels 360 degrees in 12 hours. Accordingly, for each hour, the angle will be equal to: 360/12=30 degrees. In twenty minutes, the hour hand will move 30/60=1/2 of the way, i.e. 30/3=10 degrees. We add up the minute and hour degrees: 60+10=70. Answer: V."
468,Логика,Logic,Какой угол образуют стрелки часов в 3:30,What angle do the hands of the clock form at 3:30?,A) 75° B) 90° C) 105° D) 135° E) нет правильного ответа,A) 75° B) 90° C) 105° D) 135° E) no correct answer,A,Передвижение часовой стрелки на 1 час на циферблате соответствует 30°. Полный оборот минутной стрелки за час - 360°. Ответ: 360.,Moving the hour hand by 1 hour on the dial corresponds to 30°. The full rotation of the minute hand in an hour is 360°. Answer: 360.
469,Логика,Logic,Какой угол образуют стрелки часов в двадцать минут седьмого?,What angle do the hands of the clock form at twenty minutes past seven?,A) 60° B) 70° C) 90° D) 110° E) нет правильного ответа,A) 60° B) 70° C) 90° D) 110° E) no correct answer,B,"В 3 часа 30 минут часов часовая стрелка будет на циферблате между цифрами 3 и 4.
 Минутная стрелка будет на цифре 6.
 Если часовая стрелка находится посередине между цифрами 3 и 4, а минутная на цифре 6 - это соответствует углу в 75°. Для нашей ситуации угол будет равен: 2 * 30° + 30°/2 = 60 °+ 15° = 75°. Ответ: 75°.","At 3: 30 o'clock, the hour hand will be on the dial between the digits 3 and 4.
 The minute hand will be on the number 6.
 If the hour hand is located in the middle between the digits 3 and 4, and the minute hand is located on the digit 6, this corresponds to an angle of 75°. For our situation, the angle will be equal to: 2 * 30° + 30°/2 = 60 °+ 15° = 75°. Answer: 75°."
470,Логика,Logic,Какой угол образуют стрелки часов в 12:20,What angle do the hands of the clock form at 12:20 pm?,A) 110° B) 120° C) 130° D) 150° E) нет правильного ответа,A) 110° B) 120° C) 130° D) 150° E) no correct answer,A,"В 12 часов стрелки совпадали. Через 20 минут минутная стрелка пройдет 1/3 часть окружности, а часовая пройдет 1/36 часть окружности. Поэтому угол между ними составит 11/36 частей окружности или 110 градусов.","At 12 o'clock, the hands coincided. After 20 minutes, the minute hand will pass 1/3 of the circle, and the hour hand will pass 1/36 of the circle. Therefore, the angle between them will be 11/36 parts of a circle, or 110 degrees."
471,Логика,Logic,Угол между стрелками часов равен 0° в:,The angle between the hands of the clock is 0° c:,A) 12:00 B) 03:15 C) 06:30 D) 00:30 E) 08:45,A) 12:00 B) 03:15 C) 06:30 D) 00:30 E) 08:45,A,"В 12 часов стрелки часов совпадают, соответственно угол между ними равен 0 градусов. Ответ: 12:00.","At 12 o'clock, the hands of the clock coincide, respectively, the angle between them is 0 degrees. Answer: 12: 00."
472,Логика,Logic,За сколько секунд часовая стрелка поворачивается на 1°?,In how many seconds does the hour hand turn 1°?,A) 60 B) 120 C) 360 D) 420 E) 600,A) 60 B) 120 C) 360 D) 420 E) 600,B,"Часовая стрелка за 12 часов проделывает путь в 360 градусов. Соответственно, за каждый час/60минут угол будет равен: 360/12=30 градусов. В одну минуту/60секунд стрелка пройдет 30/60=0,5 градусов. Соответственно 1 градус стрелка пройдет за 2 минуты/120 секунд. Ответ: 120.","The hour hand travels 360 degrees in 12 hours. Accordingly, for each hour/60 minutes, the angle will be: 360/12=30 degrees. In one minute/60 seconds, the arrow will pass 30/60=0.5 degrees. Accordingly, 1 degree of the hand will pass in 2 minutes/120 seconds. Answer: 120."
